GENTILE M|01:750:193:00|4.57|4.54|4.16|4.65|4.33|3.71|3.67|2.86|3.98|3.57|4.93|2.57|3.11|3.59|3.42|3.58
GENTILE M|01:750:193:00|4.57|4.54|4.16|4.65|4.33|3.71|3.67|2.86|3.98|3.57|4.93|2.57|3.11|3.59|3.42|3.58
GENTILE M|01:750:193:00|4.57|4.54|4.16|4.65|4.33|3.71|3.67|2.86|3.98|3.57|4.93|2.57|3.11|3.59|3.42|3.58
GENTILE M|01:750:193:00|4.57|4.54|4.16|4.65|4.33|3.71|3.67|2.86|3.98|3.57|4.93|2.57|3.11|3.59|3.42|3.58
GENTILE M|01:750:193:00|4.57|4.54|4.16|4.65|4.33|3.71|3.67|2.86|3.98|3.57|4.93|2.57|3.11|3.59|3.42|3.58
GENTILE M|01:750:193:00|4.57|4.54|4.16|4.65|4.33|3.71|3.67|2.86|3.98|3.57|4.93|2.57|3.11|3.59|3.42|3.58
GENTILE M|01:750:193:01|4.19|3.90|3.69|4.23|4.01|3.55|3.35|2.68|3.76|3.34|4.82|2.98
PELLEGRINO S|01:750:193:02|4.19|3.90|3.69|4.23|4.01|3.55|3.35|2.68|3.76|3.34|4.82|2.98
CHEN H|01:750:193:03|4.19|3.90|3.69|4.23|4.01|3.55|3.35|2.68|3.76|3.34|4.82|2.98
BUCHAN D|01:750:193:04|4.19|3.90|3.69|4.23|4.01|3.55|3.35|2.68|3.76|3.34|4.82|2.98
SPERO T|01:750:193:08|4.19|3.90|3.69|4.23|4.01|3.55|3.35|2.68|3.76|3.34|4.82|2.98
GENTILE M|01:750:193:20|4.25|3.93|3.87|4.33|4.07|3.85|3.58|2.78|4.03|3.48|4.91|3.59|3.47|3.28|3.04|3.55|3.54
MAYES J|01:750:193:22|4.25|3.93|3.87|4.33|4.07|3.85|3.58|2.78|4.03|3.48|4.91|3.59|3.47|3.28|3.04|3.55|3.54
MOGILSKI B|01:750:193:23|4.25|3.93|3.87|4.33|4.07|3.85|3.58|2.78|4.03|3.48|4.91|3.59|3.47|3.28|3.04|3.55|3.54
SPERO T|01:750:193:24|4.25|3.93|3.87|4.33|4.07|3.85|3.58|2.78|4.03|3.48|4.91|3.59|3.47|3.28|3.04|3.55|3.54
BUCHAN D|01:750:193:26|4.25|3.93|3.87|4.33|4.07|3.85|3.58|2.78|4.03|3.48|4.91|3.59|3.47|3.28|3.04|3.55|3.54
COOPER J|01:750:193:27|4.25|3.93|3.87|4.33|4.07|3.85|3.58|2.78|4.03|3.48|4.91|3.59|3.47|3.28|3.04|3.55|3.54
PELLEGRINO S|01:750:193:28|4.25|3.93|3.87|4.33|4.07|3.85|3.58|2.78|4.03|3.48|4.91|3.59|3.47|3.28|3.04|3.55|3.54
LEVI O|01:750:193:30|4.25|3.93|3.87|4.33|4.07|3.85|3.58|2.78|4.03|3.48|4.91|3.59|3.47|3.28|3.04|3.55|3.54
BRAHMIA A|01:750:202:00|4.87|4.87|4.86|4.87|4.67|4.79|4.71|3.82|4.92|4.68|4.79|3.89|4.49|4.68|4.76|3.90
BRAHMIA A|01:750:202:00|4.87|4.87|4.86|4.87|4.67|4.79|4.71|3.82|4.92|4.68|4.79|3.89|4.49|4.68|4.76|3.90
BRAHMIA A|01:750:202:00|4.87|4.87|4.86|4.87|4.67|4.79|4.71|3.82|4.92|4.68|4.79|3.89|4.49|4.68|4.76|3.90
BRAHMIA A|01:750:202:00|4.87|4.87|4.86|4.87|4.67|4.79|4.71|3.82|4.92|4.68|4.79|3.89|4.49|4.68|4.76|3.90
BRAHMIA A|01:750:202:00|4.87|4.87|4.86|4.87|4.67|4.79|4.71|3.82|4.92|4.68|4.79|3.89|4.49|4.68|4.76|3.90
BRAHMIA A|01:750:202:00|4.87|4.87|4.86|4.87|4.67|4.79|4.71|3.82|4.92|4.68|4.79|3.89|4.49|4.68|4.76|3.90
BRAHMIA A|01:750:202:00|4.87|4.87|4.86|4.87|4.67|4.79|4.71|3.82|4.92|4.68|4.79|3.89|4.49|4.68|4.76|3.90
BRAHMIA A|01:750:203:00|4.87|4.81|4.80|4.83|4.57|4.71|4.62|3.86|4.78|4.57|4.81|3.87|4.30|4.47|4.78|3.98
BRAHMIA A|01:750:203:00|4.87|4.81|4.80|4.83|4.57|4.71|4.62|3.86|4.78|4.57|4.81|3.87|4.30|4.47|4.78|3.98
BRAHMIA A|01:750:203:00|4.87|4.81|4.80|4.83|4.57|4.71|4.62|3.86|4.78|4.57|4.81|3.87|4.30|4.47|4.78|3.98
BRAHMIA A|01:750:203:00|4.87|4.81|4.80|4.83|4.57|4.71|4.62|3.86|4.78|4.57|4.81|3.87|4.30|4.47|4.78|3.98
BRAHMIA A|01:750:203:00|4.87|4.81|4.80|4.83|4.57|4.71|4.62|3.86|4.78|4.57|4.81|3.87|4.30|4.47|4.78|3.98
BRAHMIA A|01:750:203:00|4.87|4.81|4.80|4.83|4.57|4.71|4.62|3.86|4.78|4.57|4.81|3.87|4.30|4.47|4.78|3.98
BRAHMIA A|01:750:203:00|4.87|4.81|4.80|4.83|4.57|4.71|4.62|3.86|4.78|4.57|4.81|3.87|4.30|4.47|4.78|3.98
BRAHMIA A|01:750:203:00|4.87|4.81|4.80|4.83|4.57|4.71|4.62|3.86|4.78|4.57|4.81|3.87|4.30|4.47|4.78|3.98
BRAHMIA A|01:750:203:00|4.87|4.81|4.80|4.83|4.57|4.71|4.62|3.86|4.78|4.57|4.81|3.87|4.30|4.47|4.78|3.98
